电影名称,评分,评价人数
电影名称,评分,评价人数
电影名称,评分,评价人数
模仿游戏,8.8,683701人评价
头号玩家,8.6,1433089人评价
花样年华,8.8,654489人评价
射雕英雄传之东成西就,8.7,674627人评价
七武士,9.3,212139人评价
我是山姆,9.0,355907人评价
惊魂记,9.0,322958人评价
血战钢锯岭,8.7,816394人评价
阳光姐妹淘,8.8,610807人评价
恐怖直播,8.7,688863人评价
你的名字。,8.5,1499470人评价
黑客帝国3：矩阵革命,8.8,469576人评价
三块广告牌,8.7,866370人评价
心迷宫,8.8,566141人评价
电锯惊魂,8.7,569647人评价
达拉斯买家俱乐部,8.8,477328人评价
疯狂原始人,8.7,877434人评价
小丑,8.7,1063795人评价
谍影重重3,8.8,441296人评价
心灵奇旅,8.7,1052192人评价
背靠背，脸对脸,9.5,153448人评价
上帝之城,9.0,315150人评价
绿里奇迹,8.9,357570人评价
英雄本色,8.6,571096人评价
风之谷,8.9,373367人评价
爱在午夜降临前,8.9,433991人评价
海街日记,8.8,480967人评价
纵横四海,8.8,449197人评价
疯狂的石头,8.6,870716人评价
卢旺达饭店,8.9,347889人评价
无间道2,8.8,519494人评价
2001太空漫游,8.9,359871人评价
雨中曲,9.1,244932人评价
记忆碎片,8.7,634228人评价
小偷家族,8.7,852910人评价
无敌破坏王,8.7,574370人评价
岁月神偷,8.7,592616人评价
忠犬八公物语,9.2,206309人评价
荒蛮故事,8.8,468123人评价
冰川时代,8.6,648760人评价
牯岭街少年杀人事件,8.9,331146人评价
恐怖游轮,8.5,923206人评价
爆裂鼓手,8.7,624364人评价
魔女宅急便,8.7,490781人评价
东京教父,9.0,256976人评价
大佛普拉斯,8.7,506774人评价
贫民窟的百万富翁,8.6,774963人评价
遗愿清单,8.7,496192人评价
末路狂花,8.9,294071人评价
东邪西毒,8.6,602613人评价
你看起来好像很好吃,8.9,351508人评价
可可西里,8.9,321794人评价
源代码,8.5,876148人评价
城市之光,9.3,158215人评价
疯狂的麦克斯4：狂暴之路,8.7,578259人评价
海边的曼彻斯特,8.6,593819人评价
黑天鹅,8.6,810649人评价
波西米亚狂想曲,8.6,646479人评价
真爱至上,8.5,767694人评价
爱乐之城,8.4,1009012人评价
芙蓉镇,9.3,160690人评价
青蛇,8.6,555646人评价
雨人,8.7,422472人评价
高山下的花环,9.5,117507人评价
初恋这件小事,8.5,1012238人评价
终结者2：审判日,8.8,360046人评价
人工智能,8.7,471922人评价
虎口脱险,8.9,274687人评价
恋恋笔记本,8.5,709204人评价
花束般的恋爱,8.6,710826人评价
无耻混蛋,8.7,511721人评价
新龙门客栈,8.7,471344人评价
罗生门,8.8,334453人评价
崖上的波妞,8.6,534015人评价
千钧一发,8.8,322214人评价
哈利·波特与死亡圣器(上),8.6,623695人评价
彗星来的那一夜,8.6,628423人评价
白日梦想家,8.6,558537人评价
萤火虫之墓,8.7,420568人评价
黑客帝国2：重装上阵,8.7,428023人评价
奇迹男孩,8.6,574195人评价
